amenity,latitude,longitude
fast_food,51.2016166,6.7178687
fast_food,51.2015962,6.7179621
fast_food,51.2017526,6.7177409
fast_food,51.2019087,6.7179127
fast_food,51.201848,6.7177876
fast_food,51.2018035,6.7177531
fast_food,51.2017017,6.717747
fast_food,51.1976757,6.690645
fast_food,51.2374827,6.8596943
fast_food,51.1956657,6.7685229
fast_food,51.1789134,6.7434367
fast_food,51.2308113,6.7514138
fast_food,51.2044171,6.6844748
fast_food,51.2386041,6.8500854
fast_food,51.3377484,6.8277122
fast_food,51.1976348,6.6945347
fast_food,51.235339,6.7825671
fast_food,51.2022631,6.9024177
fast_food,51.1736868,6.8301812
fast_food,51.2039243,6.897677
fast_food,51.2036355,6.8914784
fast_food,51.1959683,6.6957489
fast_food,51.1791098,6.7157292
fast_food,51.2638681,6.8180878
fast_food,51.3005194,6.8731418
fast_food,51.2828883,6.7406239
fast_food,51.168639,6.9338602
fast_food,51.1673476,6.9310784
fast_food,51.1663992,6.9313274
fast_food,51.1871453,6.8186396
fast_food,51.2106932,6.7694766
fast_food,51.1887149,6.6930336
fast_food,51.3014073,6.7374798
fast_food,51.1910014,6.6911567
fast_food,51.2171971,6.7932902
fast_food,51.2368186,6.7308131
fast_food,51.1407116,6.8160449
fast_food,51.2137243,6.775637
fast_food,51.2141964,6.7660457
fast_food,51.2022232,6.6850785
fast_food,51.2445698,6.7016079
fast_food,51.2203719,6.8096365
fast_food,51.204625,6.773694
fast_food,51.2438505,6.6975333
fast_food,51.1883675,6.8219817
fast_food,51.2093547,6.7771998
fast_food,51.2109685,6.7699303
fast_food,51.2087435,6.7759537
fast_food,51.167763,6.839679
fast_food,51.332714,6.788836
fast_food,51.230237,6.8241332
fast_food,51.2189828,6.7843567
fast_food,51.2190376,6.7851927
fast_food,51.2363946,6.7929936
fast_food,51.1498208,6.8971894
fast_food,51.1912121,6.8159774
fast_food,51.1621087,6.9394726
fast_food,51.281855,6.795158
fast_food,51.2034749,6.6852079
fast_food,51.2032945,6.6849192
fast_food,51.2767685,6.7979351
fast_food,51.2012565,6.7808993
fast_food,51.2773431,6.7651696
fast_food,51.2382305,6.7856679
fast_food,51.1786012,6.8288206
fast_food,51.2482866,6.7600106
fast_food,51.2772666,6.7655818
fast_food,51.2774732,6.7654226
fast_food,51.202781,6.6847156
fast_food,51.2124675,6.7829501
fast_food,51.2122778,6.7829402
fast_food,51.2110154,6.7818544
fast_food,51.203198,6.7802427
fast_food,51.2108094,6.7803857
fast_food,51.2085296,6.7824351
fast_food,51.2150077,6.7873487
fast_food,51.2106527,6.7704736
fast_food,51.251731,6.762722
fast_food,51.2521094,6.7947288
fast_food,51.2898059,6.795645
fast_food,51.1264366,6.7326863
fast_food,51.2172908,6.8233553
